,Venue,Venue Latitude,Venue Longitude,Venue Category
102,Buvette Sint-Sebastiaan,50.863604125073586,4.383654527890872,Bar
103,Le Wappers,50.84498775669222,4.395330300338708,Bar
104,Zonneklop,50.835919555060194,4.365461185145555,Bar
105,Live Central Park,50.861042833825444,4.384465434689724,Bar
106,W xyz Bar,50.840394076410654,4.380951231670493,Cocktail Bar
107,Magic Mirrors,50.8464703542114,4.356075894818687,Bar
108,De Melkerij / La Laiterie - Woodpecker's Milkbar (De Melkerij - WoodPecker's Milkbar),50.862324464703306,4.384934306144714,Bar
109,De Student,50.8615396411316,4.36762004869059,Bar
110,De Zotten Ezel / L'âne Fou (De Zotten Ezel),50.85998341368902,4.3692370983343745,Bar
111,Jet Live,50.85063359937019,4.396175612643893,Bar
112,A l'Imaige de Nostre Dame,50.84829744070197,4.3521855495926545,Bar
113,Tiago's,50.84321170644802,4.383811931493229,Wine Bar
114,Etcetera,50.83162233895737,4.3855715248531135,Bar
115,Hard Rock Cafe Brussels (Hard Rock Cafe Brussel),50.84615947593924,4.352892507357637,Bar
116,Beers Bank,50.836629459133974,4.381802479567753,Pub
117,Den Bureau,50.85946883245325,4.362546473318065,Bar
118,Sofitel Brussels Europe,50.83771963132431,4.381183222547406,Hotel
119,Au Bon Vieux Temps,50.8482758956647,4.352358111134087,Pub
120,The Wild Geese,50.84475610730734,4.377477989158419,Bar
121,"SmoodS Living Room, Kitchen and Music",50.85531097614499,4.366689208175013,Restaurant
122,Golden Bar,50.84593972879875,4.352720368453155,Bar
123,Confusion Bar,50.83678155266778,4.387410672834551,Bar
124,La Femme du Sommelier,50.85211796670788,4.36548502370053,Restaurant
125,Brusilia Tavern,50.863201353285525,4.380011086386629,Bar
126,Corner House,50.84732476682286,4.392654255145831,Bar
127,Clover Bar - Quartier Européen,50.841,4.37326,Cocktail Bar
128,The Hairy Canary,50.844280827166735,4.383733514603657,Pub
129,Le Chaplin,50.84914048888581,4.389757653901382,Bar
130,Le Saint Martin,50.84325709935407,4.395998953245909,Bar
131,De Haus,50.83260226561765,4.3667787428028415,Cocktail Bar
132,Le Faubourg,50.844108779821035,4.383782283540912,Bar
133,L'Aristo,50.8420336219981,4.401299050997649,Bar
134,Che Habana Café,50.84695866918718,4.3530657184702335,Cocktail Bar
135,Woodpecker Brussels Park,50.84342146607264,4.363609839814566,Bar
136,Le Franklin,50.84420176480672,4.383799798501582,Bar
137,VERTIGO,50.84202797935818,4.352579022705998,Cocktail Bar
138,Tulipant,50.833502,4.366744,Bar
139,Bar Mardi,50.84246505310162,4.384918212890625,Bar
140,les bons enfants,50.84891693899242,4.390319966105907,Bar
141,Azeb Cafe,50.85023328681247,4.367522155597193,Bar
142,Kitty O'Shea's,50.844402392774214,4.381991597876683,Irish Pub
143,L'Orchidée,50.853983019577555,4.388564211681303,Bar
144,Vester Bar,50.83944,4.372375,Bar
145,Le Grand Central,50.84031457915534,4.380390280430053,Bar
146,London Calling,50.83783765249686,4.367768168449402,Pub
147,L'Impair,50.85058556534734,4.394326984815838,Bar
148,Sphinx,50.84563383595061,4.353323900577537,Bar
149,Le Botanique,50.85472016370727,4.365117279349226,Concert Hall
150,'t Gevaar,50.850516,4.35781,Bar
151,Le Central,50.836876966280485,4.38849549692228,Bar
152,Piola Libri,50.845492112760546,4.3871736531916925,Bookstore
153,Viticolo Wine Bar,50.844530105189406,4.383791345438821,Wine Bar
154,Pool Gate,50.83657713165499,4.366737765195761,Pool Hall
155,The Beer Factory,50.83883319352657,4.373078490801082,Bar
156,Le Liberty,50.84977117603609,4.366523566347307,Bar
