,Venue,Venue Latitude,Venue Longitude,Venue Category
94,CiPiaCe Bruxelles,50.8306,4.34594,Italian Restaurant
95,La Caneva,50.8455,4.34825,Italian Restaurant
96,Foodmaker,50.84825529562059,4.356550951670125,Vegetarian / Vegan Restaurant
97,Mirante Pizzeria,50.84670634961548,4.348769516083077,Pizza Place
98,La Braise,50.83100616656503,4.346114594792333,BBQ Joint
99,El Greco,50.847145,4.3526134,Greek Restaurant
100,La Piola Pizza,50.849512,4.374127,Pizza Place
101,La Mamma,50.8494,4.37417,Italian Restaurant
102,Meet Meat,50.844756206030794,4.381285093100976,Steakhouse
103,Dilmon La Table d'Orient,50.85090703910355,4.381978909757168,Middle Eastern Restaurant
104,EXKi,50.844204447019784,4.381906840372005,Sandwich Place
105,Cherry Delicatessen,50.841773,4.378834,Café
106,The Wild Geese,50.84475610730734,4.377477989158419,Gastropub
107,Shere-E-Punjab,50.84838664772726,4.374043790565799,Indian Restaurant
108,Il Capriccio Di Offenbach,50.84732425784768,4.372943046538127,Italian Restaurant
109,Pasticceria Giovanni,50.8518996601732,4.3858151210795615,Italian Restaurant
110,Van Dender,50.852183557830536,4.387066164967126,Bakery
111,Öz Tetik,50.85401364187528,4.373601955240988,Kebab Restaurant
112,Kafenio,50.8444852119939,4.381929402382006,Greek Restaurant
113,Better than Hungry,50.8493,4.36778,Asian Restaurant
114,Art's & Bagels,50.84183065578024,4.38417230123926,Bagel Shop
115,Costa d'Amalfi,50.843991,4.384744,Italian Restaurant
116,Le Mangeoire,50.84940667046033,4.366783489276259,Deli / Bodega
117,Basils,50.849865,4.366902,Italian Restaurant
118,Keep On Toasting,50.84290080453858,4.370482324299152,Food Truck
119,Omiros,50.849065334684425,4.374143505240896,Greek Restaurant
120,Stick That Meat,50.840522,4.378432,Souvlaki Shop
121,The Office (Creative Coffee & Salad),50.84168793727687,4.373390306105863,Café
122,La Galia,50.84333755863499,4.37521039281525,Restaurant
123,Le Grand Central,50.84031457915534,4.380390280430053,Gastropub
124,Mi-Tango,50.84698945553779,4.375008950892669,Argentinian Restaurant
125,Osteria pane e vino,50.845389,4.383625,Trattoria/Osteria
126,Pasta Bar,50.84852250549064,4.366952717855309,Italian Restaurant
127,Ethnic Foods,50.848006586453565,4.3642970287472025,Sandwich Place
128,Ego Ristorante Pizzeria,50.8450185749105,4.3825684165163885,Pizza Place
129,Le Botaniste,50.844172,4.38405,Vegetarian / Vegan Restaurant
130,Kargin Restaurant,50.854914872271344,4.3689330344149155,Middle Eastern Restaurant
131,Les Caprices d'Harmony,50.847355011589904,4.392640983469214,French Restaurant
132,Citron Vert,50.84927191833425,4.365786201633343,Thai Restaurant
133,Noordzee / Mer du Nord,50.8395,4.37188,Fish & Chips Shop
134,Saco Pizza Bar,50.852537995229,4.395240386475771,Pizza Place
135,Copain,50.85717757252154,4.388539227766204,Restaurant
136,Meatropolis,50.839278,4.385783,Greek Restaurant
137,Living Room Boutique Restaurant,50.84070333676806,4.379629348840551,Restaurant
138,Les Dames Tartine,50.85582825627833,4.3685790096357815,French Restaurant
139,Food To Go,50.83945422919487,4.373498543186548,Sandwich Place
140,Proznack,50.84860072046173,4.367387979765824,Sandwich Place
141,Hanımeli,50.857944532242946,4.370086238524075,Turkish Restaurant
142,Hanedan Pizzeria & Kebap,50.857058536273406,4.369424793847953,Kebab Restaurant
143,'t Potverdoemmeke,50.859232724325885,4.38158557754918,Belgian Restaurant
144,La Selva,50.85615411085047,4.392162660195494,Italian Restaurant
145,La Maison du Luxembourg,50.839509902405,4.3710278420405535,French Restaurant
146,Elvis Foodstore,50.84232193576528,4.371146054472774,Sandwich Place
147,Le Petit Coin Royal,50.85228332854515,4.3653673206392085,Sandwich Place
148,Eccetera,50.8363,4.38161,Italian Restaurant
149,Di Tommaso,50.848105498276425,4.36491644858199,Italian Restaurant
150,黑板 Kokuban Schuman,50.840432008548184,4.379272034042649,Japanese Restaurant
151,Casa Mia,50.84568378573106,4.369603106967995,Italian Restaurant
152,Un Posto Al Sole,50.850620301065526,4.3967455075873305,Italian Restaurant
153,Eskape,50.83834282654197,4.37292055438852,Vegetarian / Vegan Restaurant
154,Snack Meiser Friterie,50.8559851028176,4.393331771026918,Friterie
155,Attica,50.84294633820357,4.375264528582243,Greek Restaurant
156,Le Zinneke,50.8568,4.39141,Belgian Restaurant
157,De Meyboom,50.850874996240826,4.360312355358712,Gastropub
158,Fantastico,50.84901551651027,4.3655549339055675,Italian Restaurant
159,Per Bacco,50.848412490466885,4.364287520760001,Italian Restaurant
160,Atelier du Sushi,50.85447461981229,4.387590268606773,Sushi Restaurant
161,Lale Pizzeria,50.85852311927038,4.370294075300681,Pizza Place
162,De Bruxelles et d'Ailleurs,50.84942317745353,4.366679720905375,African Restaurant
163,La Femme du Sommelier,50.85211796670788,4.36548502370053,Restaurant
164,Le Max,50.85040410738493,4.394667024084607,Italian Restaurant
165,Il Veliero,50.83659833016774,4.382442445986242,Italian Restaurant
166,Il Pasticcio,50.838911610451184,4.3708485353762265,Italian Restaurant
167,Star of Asia,50.838,4.37248,Indian Restaurant
168,Faraglioni,50.84928501928918,4.38947453671023,Pizza Place
169,Don Luis,50.853657,4.385433,Portuguese Restaurant
170,Paolo's Idea,50.840433472264024,4.3851277904581885,Italian Restaurant
171,Il Convivio,50.85450323884344,4.360815511880558,Italian Restaurant
172,Saveurs Thai,50.85386153732107,4.385935745941076,Asian Restaurant
173,Karaca Concept Resto,50.85823763641331,4.3831738327326395,Turkish Restaurant
174,Beyzade Restaurant,50.85840555748533,4.370008168350126,Buffet
175,Konya,50.85508869253888,4.3689247864784635,Restaurant
176,Snack Tetik - Chez Kadir,50.85394593397097,4.3708208159480275,Snack Place
177,L'Estaminet,50.859716,4.370405,Estaminet
178,Sea Grill,50.84972476330366,4.3565835306150875,Seafood Restaurant
179,Le Bier Circus,50.84872059376704,4.364976951101005,Belgian Restaurant
180,Koçak,50.858790672239934,4.3703080581247296,Pizza Place
181,Ergon Greek Deli + Cuisine,50.83877000075877,4.370785840314915,Greek Restaurant
182,Maison Antoine,50.83676342469918,4.381418456677247,Friterie
183,Sakagura,50.85078815065489,4.3579011924721165,Japanese Restaurant
184,The Foodmaker,50.84014405845758,4.368486411775189,Breakfast Spot
185,Saco Pizza Bar 2,50.84797953169396,4.364214521294256,Pizza Place
186,NB Sandwichs,50.84162524847572,4.369502868139959,Snack Place
187,Au Vatel,50.83703540495438,4.38150773245093,Bakery
188,Pizza Liloo,50.83282464209709,4.386596607425227,Pizza Place
189,Poule & Poulette,50.83762134554176,4.380706972890558,Fried Chicken Joint
190,Le Tournant,50.83557189330396,4.369754485794256,French Restaurant
191,Kitchen 151,50.83558522657913,4.369725688361203,Mediterranean Restaurant
192,Origine,50.836744,4.383398,French Restaurant
193,Dea's Pizza,50.829769860647204,4.379335258613648,Pizza Place
194,Stirwen,50.836493596011174,4.381994165775711,Belgian Restaurant
195,My Tannour,50.8282538148814,4.376091871060191,Middle Eastern Restaurant
196,Gâteau,50.83674477346586,4.391704560485113,Bakery
197,Il Nobile,50.83343412264647,4.366819679988518,Italian Restaurant
198,Corica Quartier Européen,50.8387,4.37066,Café
199,La Fleur du Pain,50.827873070218764,4.373492498182259,Bakery
200,Ellinikon,50.83809466527462,4.397090274997339,Greek Restaurant
201,La Meute,50.82780255484013,4.371010205476259,Steakhouse
202,Takumi,50.827809014266606,4.370994921665348,Japanese Restaurant
203,La Petite Production,50.8298,4.37086,Breakfast Spot
204,Sukhothai,50.83603622533913,4.387252346674218,Thai Restaurant
205,Essgo Grill,50.83097037134207,4.390565286330126,Snack Place
206,Renard Bakery,50.8334920397574,4.366213968792886,Bakery
207,Au Cor de Chasse,50.8294556723673,4.390068054199218,Portuguese Restaurant
208,Mano a Mano,50.835824454492936,4.364688992500305,Italian Restaurant
209,Cõcīna,50.827772052544084,4.370522620057592,Restaurant
210,Ouzerie Mezedopolio,50.83122350249755,4.3685717790869285,Greek Restaurant
211,Caramulo,50.82787380980535,4.374917333830864,Portuguese Restaurant
212,PokiPoké,50.8286526308314,4.37056839466095,Poke Place
213,Manhattn's Burgers,50.839,4.39816,Restaurant
214,Pim Coffee On The Go,50.82760368397206,4.372362486155857,Food Truck
215,Comptoir Rodin,50.82750573923793,4.381564632776168,Sandwich Place
216,Kipkot,50.83583521746461,4.3650319577783545,Fried Chicken Joint
217,Il Vesuvio,50.828583,4.3906517,Italian Restaurant
218,Semsom,50.827694,4.366004,Middle Eastern Restaurant
219,El Mexicanito,50.836395,4.363995,Mexican Restaurant
220,Le Buone Maniere,50.838269995811864,4.401875272022877,Italian Restaurant
221,L'Intermezzo,50.84982657244402,4.3544502292865666,Italian Restaurant
222,Maxi Bagi,50.85193149798015,4.354047807332508,Sandwich Place
223,Chez Léon,50.8483,4.35403,Belgian Restaurant
224,Baogo,50.84879017675006,4.352901023925718,Burger Joint
225,Noordzee - Mer du Nord (De Noordzee),50.8503,4.34771,Fish & Chips Shop
226,Le Vismet,50.85100503231949,4.350142622014003,Seafood Restaurant
227,Wolf,50.849923,4.35628,Food Court
